Pc_1_Leaf_Autumn_Primorsky_Krai	Pc_1_Leaf_Spring_Primorsky_Krai	Pc_1_Root_Autumn_Primorsky_Krai	Pc_1_Root_Spring_Primorsky_Krai	Pc_1_Stem_Autumn_Primorsky_Krai	Pc_1_Stem_Spring_Primorsky_Krai	Pc_2_Flower_Autumn_Primorsky_Krai	Pc_2_Leaf_Autumn_Primorsky_Krai	Pc_2_Leaf_Spring_Primorsky_Krai	Pc_2_Root_Autumn_Primorsky_Krai	Pc_2_Root_Spring_Primorsky_Krai	Pc_2_Stem_Autumn_Primorsky_Krai	Pc_2_Stem_Spring_Primorsky_Krai	Pc_3_Leaf_Spring_Primorsky_Krai	Pc_3_Root_Spring_Primorsky_Krai	Pc_3_Stem_Spring_Primorsky_Krai	Pc_4_Leaf_Spring_Primorsky_Krai	Pc_4_Root_Spring_Primorsky_Krai	Pc_4_Stem_Spring_Primorsky_Krai	Pc1_Sakh_Leaf_Autumn_Sakhalin_Oblast	Pc1_Sakh_Root_Autumn_Sakhalin_Oblast	Pc1_Sakh_Stem_Autumn_Sakhalin_Oblast	Pc2_Sakh_Leaf_Autumn_Sakhalin_Oblast	Pc2_Sakh_Root_Autumn_Sakhalin_Oblast	Pc2_Sakh_Stem_Autumn_Sakhalin_Oblast	Pc3_Sakh_Leaf_Autumn_Sakhalin_Oblast	Pc3_Sakh_Root_Autumn_Sakhalin_Oblast	Pc3_Sakh_Seed_Autumn_Sakhalin_Oblast	Pc3_Sakh_Stem_Autumn_Sakhalin_Oblast
Antheraea	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	6	8	0	7	5	3	11	6	2	17	0	8	0	22	13	1	10	0	0	0	0	0	0	0	1	0	0	0	0
Curtobacterium	1	0	0	0	8	0	0	4	0	0	1	7	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0
Kluyvera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus	2	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pantoea	3	1	0	4	11	1	5	22	0	0	0	0	0	0	0	10	3	0	0	9	1	3	24	12	20	2	8	0	0
Pseudomonas	19	0	0	2	0	13	2	0	0	0	6	0	3	0	3	4	0	17	12	2	1	2	0	0	1	3	1	1	5
Brevibacillus	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia	0	2	0	0	1	8	0	0	0	0	0	0	0	0	0	1	1	0	10	16	0	11	0	2	4	7	1	8	31
Streptomyces	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0
Paraburkholderia	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Achromobacter	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0
Duganella	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteibacter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Xanthomonas	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fictibacillus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Priestia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ochrobactrum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
Sphingobacterium 	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ewingella	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rahnella	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	1	0	0	14	0	0	1	0	2
Serratia	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	1	0	5	0	0
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Escherichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Hafnia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0
Leclercia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0
Pectobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Rouxiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Pseudogymnoascus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tatumella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Buttiauxella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Robbsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0
Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
