Pc_1_Leaf_Autumn_Primorsky_Krai	Pc_1_Leaf_Spring_Primorsky_Krai	Pc_1_Root_Spring_Primorsky_Krai	Pc_1_Stem_Spring_Primorsky_Krai	Pc_2_Flower_Autumn_Primorsky_Krai	Pc_2_Leaf_Spring_Primorsky_Krai	Pc_2_Stem_Autumn_Primorsky_Krai	Pc_3_Leaf_Spring_Primorsky_Krai	Pc_3_Root_Spring_Primorsky_Krai	Pc_3_Stem_Spring_Primorsky_Krai	Pc_4_Leaf_Spring_Primorsky_Krai	Pc_4_Stem_Spring_Primorsky_Krai	Pc1_Sakh_Stem_Autumn_Sakhalin_Oblast	Pc2_Sakh_Leaf_Autumn_Sakhalin_Oblast	Pc2_Sakh_Seed_Autumn_Sakhalin_Oblast	Pc2_Sakh_Stem_Autumn_Sakhalin_Oblast	Pc3_Sakh_Leaf_Autumn_Sakhalin_Oblast	Pc3_Sakh_Root_Autumn_Sakhalin_Oblast	Pc3_Sakh_Seed_Autumn_Sakhalin_Oblast	Pc3_Sakh_Stem_Autumn_Sakhalin_Oblast
Mucor	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Aspergillus	0	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetomium	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureobasidium	0	0	1	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0
Clonostachys	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoma	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cladosporium	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	3	2	0	2	3
Diplodina	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Peziza	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Alternaria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dactylonectria	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Didymella	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0
Ilyonectria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Juxtiphoma	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Neonectria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Penicillium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plectosphaerella	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Psiloglonium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Thelebolus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sphaerulina	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Vishniacozyma	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
Curvibasidium	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Epicoccum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Papiliotrema	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Rhodosporidiobolus	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Pseudogymnoascus	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Diaporthe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Apiotrichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Fusarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hypocrea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Trichoderma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
