Sample	Plant	Organ_material	Plant_part	Season	location
Pc_1_Leaf_Autumn_Primorsky_Krai	Pc-1	Leaf	Shoot_system	Autumn	Primorsky_Krai
Pc_1_Leaf_Spring_Primorsky_Krai	Pc-1	Leaf	Shoot_system	Spring	Primorsky_Krai
Pc_1_Root_Spring_Primorsky_Krai	Pc-1	Root	Root_system	Spring	Primorsky_Krai
Pc_1_Stem_Spring_Primorsky_Krai	Pc-1	Stem	Shoot_system	Spring	Primorsky_Krai
Pc_2_Flower_Autumn_Primorsky_Krai	Pc-2	Flower	Shoot_system	Autumn	Primorsky_Krai
Pc_2_Leaf_Spring_Primorsky_Krai	Pc-2	Leaf	Shoot_system	Spring	Primorsky_Krai
Pc_2_Stem_Autumn_Primorsky_Krai	Pc-2	Stem	Shoot_system	Autumn	Primorsky_Krai
Pc_3_Leaf_Spring_Primorsky_Krai	Pc-3	Leaf	Shoot_system	Spring	Primorsky_Krai
Pc_3_Root_Spring_Primorsky_Krai	Pc-3	Root	Root_system	Spring	Primorsky_Krai
Pc_3_Stem_Spring_Primorsky_Krai	Pc-3	Stem	Shoot_system	Spring	Primorsky_Krai
Pc_4_Leaf_Spring_Primorsky_Krai	Pc-4	Leaf	Shoot_system	Spring	Primorsky_Krai
Pc_4_Stem_Spring_Primorsky_Krai	Pc-4	Stem	Shoot_system	Spring	Primorsky_Krai
Pc1_Sakh_Stem_Autumn_Sakhalin_Oblast	Pc1-Sakh	Stem	Shoot_system	Autumn	Sakhalin_Oblast
Pc2_Sakh_Leaf_Autumn_Sakhalin_Oblast	Pc2-Sakh	Leaf	Shoot_system	Autumn	Sakhalin_Oblast
Pc2_Sakh_Seed_Autumn_Sakhalin_Oblast	Pc2-Sakh	Seed	Shoot_system	Autumn	Sakhalin_Oblast
Pc2_Sakh_Stem_Autumn_Sakhalin_Oblast	Pc2-Sakh	Stem	Shoot_system	Autumn	Sakhalin_Oblast
Pc3_Sakh_Leaf_Autumn_Sakhalin_Oblast	Pc3-Sakh	Leaf	Shoot_system	Autumn	Sakhalin_Oblast
Pc3_Sakh_Root_Autumn_Sakhalin_Oblast	Pc3-Sakh	Root	Root_system	Autumn	Sakhalin_Oblast
Pc3_Sakh_Seed_Autumn_Sakhalin_Oblast	Pc3-Sakh	Seed	Shoot_system	Autumn	Sakhalin_Oblast
Pc3_Sakh_Stem_Autumn_Sakhalin_Oblast	Pc3-Sakh	Stem	Shoot_system	Autumn	Sakhalin_Oblast
