Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Plant_part	Organ_material	Year	Season	Species	location
S1	SRR29528529	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Shoot_system	Leaf	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S2	SRR29528528	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Shoot_system	Leaf	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S3	SRR29528502	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Shoot_system	Stem	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S4	SRR29528501	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Shoot_system	Stem	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S5	SRR29528500	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Root_system	Root	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S6	SRR29528499	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Root_system	Root	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S7	SRR29528498	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Leaf	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S8	SRR29528497	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Leaf	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S9	SRR29528496	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Stem	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
S10	SRR29528495	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Stem	2023	Spring	Polygonum cuspidatum	Primorsky_Krai
